country_name,regime_row_owid,electdem_vdem_owid,lib_vdem_owid,region
Luxembourg,3,0.881,0.907,Europe
Madagascar,1,0.495,0.426,Africa
Malawi,2,0.642,0.838,Africa
Malaysia,1,0.438,0.614,Asia
Maldives,2,0.583,0.725,Asia
Mali,0,0.235,0.427,Africa
Malta,2,0.782,0.81,Europe
Mauritania,1,0.395,0.284,Africa
Mauritius,2,0.521,0.694,Africa
Mexico,2,0.598,0.499,North America
Moldova,2,0.752,0.853,Europe
Mongolia,2,0.566,0.728,Asia
Montenegro,2,0.501,0.77,Europe
Morocco,0,0.264,0.713,Africa
Mozambique,1,0.362,0.549,Africa
Myanmar,0,0.093,0.153,Asia
Namibia,2,0.634,0.785,Africa
Nepal,2,0.646,0.759,Asia
Netherlands,3,0.852,0.953,Europe
New Zealand,3,0.889,0.949,Oceania
Nicaragua,1,0.177,0.064,North America
Niger,2,0.511,0.704,Africa
Nigeria,1,0.49,0.581,Africa
North America,,0.591866666666667,,World
North Korea,0,0.087,0.019,Asia
North Macedonia,2,0.551,0.599,Europe
Norway,3,0.899,0.965,Europe
Oceania,,0.666666666666667,,World
Oman,0,0.17,0.435,Asia
Pakistan,1,0.388,0.562,Asia
Palestine/Gaza,0,0.138,0.26,Asia
Palestine/West Bank,,0.26,0.353,Asia
Panama,2,0.729,0.742,North America
Papua New Guinea,1,0.458,0.741,Oceania
Paraguay,2,0.581,0.712,South America
Peru,2,0.744,0.834,South America
Philippines,1,0.431,0.567,Asia
Poland,2,0.574,0.703,Europe
Portugal,2,0.846,0.892,Europe
Qatar,0,0.088,0.3,Asia
Romania,2,0.689,0.78,Europe
Russia,1,0.209,0.17,Europe
Rwanda,1,0.228,0.313,Africa
Sao Tome and Principe,2,0.684,0.847,Africa
Saudi Arabia,0,0.016,0.171,Asia
Senegal,2,0.69,0.754,Africa
Serbia,1,0.361,0.614,Europe
Seychelles,3,0.761,0.897,Africa
Sierra Leone,2,0.559,0.73,Africa
Singapore,1,0.425,0.725,Asia
Slovakia,3,0.851,0.924,Europe
Slovenia,2,0.799,0.888,Europe
Solomon Islands,2,0.618,0.747,Oceania
Somalia,0,0.162,0.313,Africa
Somaliland,1,0.421,0.523,Africa
South Africa,2,0.692,0.841,Africa
South America,,0.658583333333333,,World
South Korea,3,0.812,0.913,Asia
South Sudan,0,0.129,0.181,Africa
Spain,3,0.873,0.91,Europe
Sri Lanka,2,0.575,0.674,Asia
Sudan,0,0.169,0.211,Africa
Suriname,2,0.77,0.846,South America
Sweden,3,0.899,0.982,Europe
Switzerland,3,0.898,0.959,Europe
Syria,0,0.138,0.08,Asia
Taiwan,3,0.831,0.872,Asia
Tajikistan,1,0.175,0.114,Asia
Tanzania,1,0.398,0.824,Africa
Thailand,0,0.206,0.548,Asia
Timor,2,0.695,0.687,Asia
Togo,1,0.426,0.458,Africa
Trinidad and Tobago,2,0.784,0.848,North America
Tunisia,1,0.307,0.563,Africa
Turkey,1,0.276,0.265,Asia
Turkmenistan,0,0.149,0.083,Asia
Uganda,1,0.285,0.522,Africa
Ukraine,1,0.406,0.468,Europe
United Arab Emirates,0,0.101,0.3,Asia
United Kingdom,3,0.843,0.917,Europe
United States,3,0.819,0.915,North America
Uruguay,3,0.804,0.897,South America
Uzbekistan,1,0.221,0.195,Asia
Vanuatu,2,0.771,0.849,Oceania
Venezuela,1,0.214,0.144,South America
Vietnam,0,0.157,0.369,Asia
World,,0.497,,World
Yemen,0,0.123,0.135,Asia
Zambia,2,0.518,0.807,Africa
Zanzibar,1,0.284,0.624,Africa
Zimbabwe,1,0.285,0.472,Africa
