Country Name,Country Code,Indicator Name,Indicator Code,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,yr2021,yr2022
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,24069.20331,23945.51231,23862.80119,20442.36606,19930.40754,20910.48296,24175.58312,23405.70611,20398.06099,24160.67605,30436.2783
Sudan,SDN,GDP per capita (current US$),NY.GDP.PCAP.CD,1797.400757,1834.561157,2076.000977,2226.409424,2614.294434,3188.769287,769.8691406,748.0109253,608.3325195,749.7067871,1102.146484
Senegal,SEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1334.725914,1391.53219,1417.094988,1238.1264,1290.749971,1385.199215,1484.227069,1462.678352,1492.475904,1633.560119,1598.735991
Singapore,SGP,GDP per capita (current US$),NY.GDP.PCAP.CD,55547.54625,56967.42579,57564.80231,55645.60686,56895.64334,61164.89736,66836.53851,66070.47067,61274.00646,77710.06996,82807.64908
Solomon Islands,SLB,GDP per capita (current US$),NY.GDP.PCAP.CD,2087.637662,2208.085253,2235.733596,2134.805424,2196.283908,2283.578944,2450.482931,2398.772963,2222.462143,2232.536956,2203.18966
Sierra Leone,SLE,GDP per capita (current US$),NY.GDP.PCAP.CD,558.1797747,706.4526652,702.3386033,581.2934118,515.4478314,484.4561156,519.6499835,506.6069082,493.4322524,504.6212722,461.3611383
El Salvador,SLV,GDP per capita (current US$),NY.GDP.PCAP.CD,3471.051269,3555.1621,3638.517658,3761.51368,3870.312982,3986.049014,4145.862351,4280.288404,3961.726633,4664.311223,5127.321668
San Marino,SMR,GDP per capita (current US$),NY.GDP.PCAP.CD,48433.5703,50435.36733,50133.60652,42281.81125,43398.42852,44885.51784,48464.52465,47287.39839,45321.48922,54982.45172,
Somalia,SOM,GDP per capita (current US$),NY.GDP.PCAP.CD,,356.1179034,377.5573872,387.6079944,387.1866816,377.349072,379.9860027,405.7867633,416.2177747,446.9815596,461.77585
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,6015.945228,6755.073675,6600.056186,5588.979444,5765.203352,6292.546549,7252.403668,7417.206585,7733.803494,9230.174447,9393.628906
Sub-Saharan Africa (excluding high income),SSA,GDP per capita (current US$),NY.GDP.PCAP.CD,1841.971772,1904.290482,1935.430795,1680.143509,1520.258376,1602.208232,1622.834774,1624.437172,1487.894768,1630.031542,1689.215655
South Sudan,SSD,GDP per capita (current US$),NY.GDP.PCAP.CD,1114.923723,1659.140787,1245.149311,1071.777765,,,,,,,
Sub-Saharan Africa,SSF,GDP per capita (current US$),NY.GDP.PCAP.CD,1842.969087,1905.498346,1936.664366,1681.367334,1521.52751,1603.501804,1624.144532,1625.762576,1488.7955,1630.983903,1690.387566
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,13385.11539,13667.12651,13841.31177,11583.98086,11165.60265,11855.79893,12810.40619,12442.12013,10702.88602,12638.57031,14626.50571
Sao Tome and Principe,STP,GDP per capita (current US$),NY.GDP.PCAP.CD,1319.900833,1551.192905,1754.600471,1571.49854,1688.375303,1805.524651,1950.629352,1991.738264,2161.310201,2360.543554,2404.258693
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,8922.956186,9124.541093,9199.177893,8907.838127,5705.399232,6112.882912,6730.836783,6690.044786,4796.533314,4869.134226,5858.28606
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,17498.3539,18276.00955,18719.98814,16390.88217,16563.4405,17585.197,19486.39368,19381.59211,19551.62116,21782.85507,21258.11414
